Id,Label,Type,gaza-ontology#containsEntity,gaza-ontology#hasTitle,22-rdf-syntax-ns#type,gaza-ontology#hasDate,gaza-ontology#hasText,rdf-schema#label,22-rdf-syntax-ns#first,22-rdf-syntax-ns#rest,rdf-schema#domain,rdf-schema#range,rdf-schema#subClassOf
http://example.com/gaza-ontology#NewsArticle_2398,gaza-ontology#NewsArticle_2398,gaza-ontology#NewsArticle,,ارتفاع عدد شهداء غزة إلى أكثر من 15 ألفا ومصير مجهول لنحو 7 آلاف مفقود,,2023-11-27,أعلن المكتب الإعلامي الحكومي في غزة ارتفاع حصيلة شهداء العدوان الإسرائيلي على قطاع غزة إلى أكثر من 15 ألفا، بعد انتشال العشرات من الجثث من تحت الأنقاض والطرقات.,,,,,,
http://example.com/gaza-ontology#NewsArticle_4081,gaza-ontology#NewsArticle_4081,gaza-ontology#NewsArticle,,طبيب غزي عائد من الاعتقال يروي بشاعات الاحتلال الإسرائيلي بحق المعتقلين,,2024-01-09,روى الطبيب الفلسطيني الدكتور إياد زقوت، بعد الإفراج عنه، ما تعرض له من تعذيب وإهانات أثناء اعتقاله من قبل القوات الإسرائيلية.,,,,,,
http://example.com/gaza-ontology#ويليام,gaza-ontology#ويليام,gaza-ontology#Person,http://example.com/gaza-ontology#NewsArticle_1395,,,,,,,,,,
http://example.com/gaza-ontology#فيتش,gaza-ontology#فيتش,gaza-ontology#Organization,http://example.com/gaza-ontology#NewsArticle_4706,,,,,,,,,,
http://example.com/gaza-ontology#NewsArticle_3565,gaza-ontology#NewsArticle_3565,gaza-ontology#NewsArticle,,تغطية الصحافة الإسرائيلية للحرب.. عاطفة وخط أحمر وأشياء تغيب عن الشاشة,,2023-12-26,تناولت صحيفة هآرتس في تقرير جديد طريقة تغطية الصحافة الإسرائيلية للحرب التي يشنها الاحتلال على قطاع غزة، حيث ألقت الضوء على تماهي الإعلام مع نهج الحكومة وتطلعه للاتساق مع مزاج الشارع.,,,,,,
http://example.com/gaza-ontology#طبيب,gaza-ontology#طبيب,gaza-ontology#Organization,http://example.com/gaza-ontology#NewsArticle_2824,,,,,,,,,,
http://example.com/gaza-ontology#NewsArticle_508,gaza-ontology#NewsArticle_508,gaza-ontology#NewsArticle,,اعتصام بتل أبيب لإطلاق الأسرى لدى المقاومة الفلسطينية واستقالة نتنياهو,,2023-10-17,يواصل عشرات الإسرائيليين اعتصاما أمام مقر وزارة الدفاع في تل أبيب للمطالبة بإعادة الأسرى الذين أسرتهم المقاومة الفلسطينية ضمن عملية طوفان الأقصى، واستقالة نتنياهو.,,,,,,
http://example.com/gaza-ontology#NewsArticle_2064,gaza-ontology#NewsArticle_2064,gaza-ontology#NewsArticle,,خُدّج غزة.. حياة صغيرة محفوفة بالموت,,2023-11-20,يتحدث المسؤولون الصحيون في غزة عن زيادة في نسبة الأطفال الخدج خلال الحرب بسبب عملية نزوح الأهالي من شمال القطاع إلى جنوبه.,,,,,,
http://example.com/gaza-ontology#NewsArticle_1032,gaza-ontology#NewsArticle_1032,gaza-ontology#NewsArticle,,تهجير 250 فلسطينيا بسبب المستوطنين بالضفة وارتفاع عدد المعتقلين,,2023-10-28,تسببت اعتداءات المستوطنين في الضفة الغربية بتهجير عدة عائلات فلسطينية من منازلهم في الخليل، في حين أعلن جيش الاحتلال عن اعتقال عشرات الفلسطينيين في الضفة مما رفع عدد المعتقلين إلى أكثر من 150 معتقلا.,,,,,,
http://example.com/gaza-ontology#NewsArticle_1247,gaza-ontology#NewsArticle_1247,gaza-ontology#NewsArticle,,صادرات إسرائيل من الغاز تهوي 70% جراء الحرب,,2023-11-02,هوت صادرات إسرائيل من الغاز الطبيعي 70% بعد عملية طوفان الأقصى التي شنتها المقاومة الفلسطينية. وفي سياق ذي صلة حذر البنك المركزي البريطاني من تداعيات استمرار الحرب في غزة على أسعار الطاقة العالمية.,,,,,,
